# part1.dat
# Data for part1 problem
data;

set EDGE := 	X00 X01 X02 X03 X04
		X10 X11 X12 X13 X14
		X20 X21 X22 X23 X24
		X30 X31 X32 X33 X34
		X40 X41 X42 X43 X44;
		
set FLOW := 	P00 P01 P02 P03 P04
		P10 P11 P12 P13 P14
		P20 P21 P22 P23 P24
		P30 P31 P32 P33 P34
		P40 P41 P42 P43 P44;

set STATION := S0 S1 S2 S3 S4;

param : cost oil_price bus_price :=
	X00 9999 	5 0
	X01 8		5 120
	X02 10		5 120
	X03 10		5 120
	X04 9999	5 0
	X10 9999	5 0
	X11 9999	5 0
	X12 3		5 0
	X13 7		5 0
	X14 6		5 0
	X20 9999	5 0
	X21 3		5 0
	X22 9999	5 0	
	X23 5		5 0
	X24 7		5 0
	X30 9999	5 0
	X31 7		5 0
	X32 5		5 0
	X33 9999	5 0
	X34 4		5 0
	X40 9999	5 0
	X41 9999	5 0
	X42 9999	5 0
	X43 9999	5 0
	X44 9999	5 0;

param bus_cap := 20;

param people :=
	S0 0
	S1 15
	S2 5
	S3 10
	S4 0;
	
end;

